blob_home,data_root,batch_id,image_id,cutout_num,datetime,cutout_id,cutout_path,is_primary,extends_border,cutout_version,schema_version,area,scientific_name,common_name,USDA_symbol,EPPO,authority,collection_location,polygon_id,hex,r,g,b,area_bbox,area_convex,axis_major_length,axis_minor_length,centroid0,centroid1,eccentricity,extent,solidity,perimeter,is_green,green_sum
data,semifield-cutouts,MD_2022-07-05,MDX03535,0,2022:07:06 00:43:43,MDX03535_0,MD_2022-07-05/MDX03535_0.png,False,True,1.0,1.0,86372.0,Datura stramonium,Jimson weed,DAST,DATST,Linnaeus,MD,,#458f28,69,143,40,359379.0,195810.0,640.8654225731052,329.213915923054,318.9557495484648,254.13167461677395,0.8579686173746903,0.2403368032077556,0.4411010673612175,2855.8287860622445,True,58206
data,semifield-cutouts,MD_2022-07-05,MDX03535,1,2022:07:06 00:43:43,MDX03535_1,MD_2022-07-05/MDX03535_1.png,False,False,1.0,1.0,903243.0,Datura stramonium,Jimson weed,DAST,DATST,Linnaeus,MD,,#458f28,69,143,40,2425179.0,1615848.0,1711.2937744540102,1148.0373228246008,1795.376238893637,2114.4910987646035,2.4365806189604626,1.6331813848531547,2.407116454447265,11346.19948728394,True,728487
data,semifield-cutouts,MD_2022-07-05,MDX03535,2,2022:07:06 00:43:43,MDX03535_2,MD_2022-07-05/MDX03535_2.png,False,False,1.0,1.0,321998.0,Datura stramonium,Jimson weed,DAST,DATST,Linnaeus,MD,,#458f28,69,143,40,788154.0,550838.0,928.694195987478,670.4852001540416,999.5172544751695,971.7054620426393,1.6247330882980577,1.1085433626342394,1.4595560336219886,6125.992529179534,True,268622
data,semifield-cutouts,MD_2022-07-05,MDX03535,3,2022:07:06 00:43:43,MDX03535_3,MD_2022-07-05/MDX03535_3.png,False,True,1.0,1.0,3148.0,Datura stramonium,Jimson weed,DAST,DATST,Linnaeus,MD,,#458f28,69,143,40,9882.0,4765.0,195.95054876111593,30.11256452753222,23.287166454891995,89.66391359593392,0.98812155516174,0.3185589961546246,0.6606505771248689,446.56958851545033,True,2477
data,semifield-cutouts,MD_2022-07-05,MDX03535,4,2022:07:06 00:43:43,MDX03535_4,MD_2022-07-05/MDX03535_4.png,False,True,1.0,1.0,6872.0,Datura stramonium,Jimson weed,DAST,DATST,Linnaeus,MD,,#458f28,69,143,40,13044.0,7759.0,319.7405350539347,58.475860226238865,346.0875821912584,68.70703331722987,1.965321967842181,1.1609375391633456,1.7732006749054785,750.7178207935913,True,4501
data,semifield-cutouts,MD_2022-07-05,MDX03535,5,2022:07:06 00:43:43,MDX03535_5,MD_2022-07-05/MDX03535_5.png,False,True,1.0,1.0,434189.0,Datura stramonium,Jimson weed,DAST,DATST,Linnaeus,MD,,#458f28,69,143,40,1046367.0,746321.0,1136.5993766207373,728.3429285913472,792.3876238228053,451.05964453268047,0.7677004819576101,0.4149490570707983,0.5817724544800428,6864.442456116591,True,361634
data,semifield-cutouts,MD_2022-07-05,MD_Row-10_1657028269,0,2022:07:05 21:34:51,MD_Row-10_1657028269_0,MD_2022-07-05/MD_Row-10_1657028269_0.png,False,True,1.0,1.0,681916.0,Setaria faberi,Giant foxtail,SEFA,SETFA,Herrmann,MD,,#ad52b8,173,82,184,4498244.0,3032025.0,3584.399862473033,1400.2469978787253,10463.064702462532,5611.9869705694655,7.593250737622682,2.79155803146988,5.179719975629928,19693.225309651574,True,538081
data,semifield-cutouts,MD_2022-07-05,MD_Row-10_1657028269,1,2022:07:05 21:34:51,MD_Row-10_1657028269_1,MD_2022-07-05/MD_Row-10_1657028269_1.png,False,True,1.0,1.0,46527.0,Setaria faberi,Giant foxtail,SEFA,SETFA,Herrmann,MD,,#ad52b8,173,82,184,369586.0,114313.0,989.8283707839493,204.79644014118014,1292.2515744305588,603.4694414114308,2.932097021823915,0.9539753771523005,2.156023971612454,2936.6410152648145,True,16205
data,semifield-cutouts,MD_2022-07-05,MD_Row-10_1657028269,2,2022:07:05 21:34:51,MD_Row-10_1657028269_2,MD_2022-07-05/MD_Row-10_1657028269_2.png,True,True,1.0,1.0,628197.0,Setaria faberi,Giant foxtail,SEFA,SETFA,Herrmann,MD,,#ad52b8,173,82,184,4550444.0,2531820.0,2556.718001420221,988.8147272635044,4136.303705558823,4303.441019208044,3.7575051104626676,1.7318728084250368,3.0498871475802485,21611.13559293898,True,425779
data,semifield-cutouts,MD_2022-07-05,MD_Row-10_1657028269,3,2022:07:05 21:34:51,MD_Row-10_1657028269_3,MD_2022-07-05/MD_Row-10_1657028269_3.png,False,False,1.0,1.0,25254.0,Setaria faberi,Giant foxtail,SEFA,SETFA,Herrmann,MD,,#ad52b8,173,82,184,152208.0,50971.0,489.4789931758146,114.42496276123167,134.23489348222063,264.8542805100182,0.9722921908062467,0.16591769157994324,0.4954582017225481,1587.510893481154,True,10660
